id,Geographic Area Name,name,lat,long,2019_net_inflow,2019_total_moves_to,2019_total_moves_from,total_households,2019_ratio_net_inflow,2019_ratio_incoming,2020_Geographic Area Name,2020_net_inflow,2020_total_moves_to,2020_total_moves_from,2020_Estimate!!Total!!HOUSEHOLDS!!Total households,2020_ratio_net_inflow,2020_ratio_incoming,change_yoy,change_yoy_ratio_incoming,inflow_outflow_ratio_2019,inflow_outflow_ratio_2020,change_in_ratio
310M500US40300,"Rochelle, IL","Rochelle, IL",41.9239178,-89.0687073,275,3384,3109,21021,130.8215594,1609.818753,"Rochelle, IL",122,2941,2819,21021,58.03720089,1399.077113,-72.7843585,-210.7416393,1.088452879,1.043277758,-4.150397463
310M500US41220,"St. Marys, GA","St. Marys, GA",30.7478954,-81.5706109,102,4104,4002,19338,52.74588892,2122.246354,"St. Marys, GA",-70,4059,4129,19338,-36.19815907,2098.976109,-88.94404799,-23.27024511,1.025487256,0.983046743,-4.138570573
310M500US36340,"Oil City, PA","Oil City, PA",41.4339484,-79.7064413,122,3373,3251,22050,55.32879819,1529.705215,"Oil City, PA",-16,3003,3019,22050,-7.256235828,1361.904762,-62.58503401,-167.8004535,1.037526915,0.994700232,-4.127765971
310M500US10220,"Ada, OK","Ada, OK",34.774531,-96.6783449,-57,2509,2566,14278,-39.92155764,1757.248914,"Ada, OK",-159,2436,2595,14278,-111.3601345,1706.121306,-71.43857683,-51.12760891,0.977786438,0.938728324,-3.994544495
310M500US47620,"Warren, PA","Warren, PA",41.8143331,-79.2902133,45,2554,2509,17115,26.29272568,1492.258253,"Warren, PA",-49,2147,2196,17115,-28.62985685,1254.455156,-54.92258253,-237.8030967,1.017935432,0.977686703,-3.953957006
310M500US25880,"Hillsdale, MI","Hillsdale, MI",41.9200472,-84.6305101,-22,2852,2874,18107,-12.14999724,1575.08146,"Hillsdale, MI",-127,2619,2746,18107,-70.13862042,1446.401944,-57.98862318,-128.6795162,0.992345164,0.95375091,-3.889196475
310M500US45740,"Toccoa, GA","Toccoa, GA",34.5773206,-83.3323851,-30,1782,1812,9543,-31.43665514,1867.337315,"Toccoa, GA",-89,1546,1635,9543,-93.26207692,1620.035628,-61.82542178,-247.3016871,0.983443709,0.945565749,-3.851563546
310M500US31080,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",34.0522166,-118.2436619,-62624,1002307,1064931,4354287,-143.8214798,2301.885475,"Los Angeles-Long Beach-Anaheim, CA",-109961,1053551,1163512,4354287,-252.5350304,2419.571792,-108.7135506,117.686317,0.941194312,0.905492165,-3.793281213
310M500US43500,"Silver City, NM","Silver City, NM",32.770075,-108.280326,-6,1190,1196,11851,-5.062863893,1004.134672,"Silver City, NM",-51,1228,1279,11851,-43.03434309,1036.199477,-37.9714792,32.06480466,0.994983278,0.960125098,-3.503393539
310M500US32460,"Mayfield, KY","Mayfield, KY",36.7417235,-88.6367154,-6,2511,2517,14316,-4.191114837,1753.981559,"Mayfield, KY",-93,2441,2534,14316,-64.96227997,1705.085219,-60.77116513,-48.89633976,0.99761621,0.963299132,-3.439907815
310M500US45000,"Susanville, CA","Susanville, CA",40.4162842,-120.6530063,53,1627,1574,9280,57.11206897,1753.232759,"Susanville, CA",-2,1506,1508,9280,-2.155172414,1622.844828,-59.26724138,-130.387931,1.033672173,0.99867374,-3.385834859
310M500US35020,"Natchez, MS-LA","Natchez, MS-LA",31.5604442,-91.403171,32,2006,1974,18399,17.39224958,1090.276645,"Natchez, MS-LA",-39,2128,2167,18399,-21.19680417,1156.584597,-38.58905375,66.30795152,1.01621074,0.982002769,-3.366228035
310M500US37580,"Paris, TX","Paris, TX",33.6609389,-95.555513,176,3851,3675,19793,88.92032537,1945.637347,"Paris, TX",45,3465,3420,19793,22.73531046,1750.618906,-66.1850149,-195.0184409,1.047891156,1.013157895,-3.314586779
310M500US30380,"Lewistown, PA","Lewistown, PA",40.5992395,-77.571382,165,3335,3170,19043,86.64601166,1751.29969,"Lewistown, PA",50,2904,2854,19043,26.25636717,1524.969805,-60.38964449,-226.329885,1.052050473,1.017519271,-3.282276171
310M500US48460,"West Plains, MO","West Plains, MO",36.7281154,-91.8523711,-2,3129,3131,15878,-1.259604484,1970.651216,"West Plains, MO",-107,3331,3438,15878,-67.3888399,2097.871268,-66.12923542,127.2200529,0.999361226,0.968877254,-3.050345703
310M500US12860,"Batavia, NY","Batavia, NY",42.9981156,-78.1875167,40,4098,4058,23759,16.83572541,1724.820068,"Batavia, NY",-77,3696,3773,23759,-32.40877141,1555.621028,-49.24449682,-169.1990404,1.009857072,0.979591837,-2.996982102
310M500US42620,"Searcy, AR","Searcy, AR",35.2468204,-91.7336846,228,6454,6226,29055,78.47186371,2221.304423,"Searcy, AR",35,6316,6281,29055,12.04611943,2173.808295,-66.42574428,-47.49612803,1.036620623,1.005572361,-2.995142235
310M500US13100,"Beatrice, NE","Beatrice, NE",40.2659269,-96.7466913,-3,1537,1540,8979,-3.341129302,1711.771912,"Beatrice, NE",-48,1460,1508,8979,-53.45806883,1626.01626,-50.11693953,-85.75565208,0.998051948,0.968169761,-2.994051245
310M500US21120,"Elk City, OK","Elk City, OK",35.4119944,-99.4042592,-54,1355,1409,7578,-71.25890736,1788.070731,"Elk City, OK",-92,1286,1378,7578,-121.4040644,1697.017683,-50.14515703,-91.0530483,0.961674947,0.933236575,-2.957170936
310M500US29860,"Laurel, MS","Laurel, MS",31.6940509,-89.1306124,-8,3864,3872,31487,-2.540731095,1227.173119,"Laurel, MS",-122,3803,3925,31487,-38.7461492,1207.800044,-36.20541811,-19.3730746,0.997933884,0.968917197,-2.90767628
310M500US36940,"Owatonna, MN","Owatonna, MN",44.0855572,-93.2259349,73,2513,2440,14692,49.68690444,1710.454669,"Owatonna, MN",0,2164,2164,14692,0,1472.910427,-49.68690444,-237.5442418,1.029918033,1,-2.904894548
310M500US30260,"Lewisburg, PA","Lewisburg, PA",40.9645293,-76.8844101,49,2001,1952,14533,33.71636964,1376.866442,"Lewisburg, PA",-6,1881,1887,14533,-4.128535058,1294.295741,-37.8449047,-82.57070116,1.025102459,0.99682035,-2.758954386
310M500US15020,"Brookhaven, MS","Brookhaven, MS",31.5790588,-90.4406506,66,1304,1238,12699,51.97259627,1026.852508,"Brookhaven, MS",32,1349,1317,12699,25.19883455,1062.288369,-26.77376171,35.43586109,1.053311793,1.024297646,-2.754563961
310M500US18060,"Columbus, MS","Columbus, MS",33.4956744,-88.4272627,38,3552,3514,22436,16.93706543,1583.169906,"Columbus, MS",-65,3791,3856,22436,-28.97129613,1689.695133,-45.90836156,106.5252273,1.010813887,0.983143154,-2.737470679
310M500US32620,"McComb, MS","McComb, MS",31.2437872,-90.4531535,-33,1983,2016,14404,-22.91030269,1376.700916,"McComb, MS",-91,2036,2127,14404,-63.17689531,1413.496251,-40.26659261,36.79533463,0.983630952,0.957216737,-2.68537861
310M500US12780,"Bartlesville, OK","Bartlesville, OK",36.7473114,-95.9808179,79,3492,3413,20455,38.62136397,1707.162063,"Bartlesville, OK",-14,3327,3341,20455,-6.844292349,1626.497189,-45.46565632,-80.66487411,1.023146792,0.995809638,-2.671870163
310M500US16340,"Cedartown, GA","Cedartown, GA",34.0112715,-85.2565823,315,2953,2638,15038,209.4693443,1963.69198,"Cedartown, GA",254,3081,2827,15038,168.9054396,2048.809682,-40.56390477,85.11770182,1.119408643,1.089847895,-2.640746773
310M500US24980,"Grenada, MS","Grenada, MS",33.7690049,-89.8084192,6,1181,1175,8391,7.150518413,1407.460374,"Grenada, MS",-24,1102,1126,8391,-28.60207365,1313.311882,-35.75259206,-94.14849243,1.005106383,0.978685613,-2.628654104
310M500US24900,"Greenwood, MS","Greenwood, MS",33.5162315,-90.1795281,0,1686,1686,13789,0,1222.713757,"Greenwood, MS",-36,1336,1372,13789,-26.10776706,968.8882443,-26.10776706,-253.8255131,1,0.973760933,-2.623906706
310M500US24260,"Grand Island, NE","Grand Island, NE",40.9263957,-98.3420118,-129,5354,5483,29189,-44.19473089,1834.252629,"Grand Island, NE",-271,5284,5555,29189,-92.84319435,1810.270992,-48.64846346,-23.98163692,0.976472734,0.951215122,-2.586617272
310M500US48180,"Waycross, GA","Waycross, GA",31.2135511,-82.3540178,49,3389,3340,20871,23.47755258,1623.784198,"Waycross, GA",-41,3502,3543,20871,-19.64448278,1677.926309,-43.12203536,54.14211106,1.014670659,0.988427886,-2.586334047
310M500US14460,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH",42.3600709,-71.0588305,-24372,410906,435278,1831217,-133.0918182,2243.895726,"Boston-Cambridge-Newton, MA-NH",-37366,427502,464868,1831217,-204.0500935,2334.523981,-70.95827529,90.62825432,0.944008197,0.919620193,-2.583452546
310M500US41260,"St. Marys, PA","St. Marys, PA",41.4273738,-78.5609398,52,1740,1688,14020,37.08987161,1241.084165,"St. Marys, PA",7,1548,1541,14020,4.992867332,1104.136947,-32.09700428,-136.9472183,1.030805687,1.004542505,-2.547830562
310M500US23460,"Gadsden, AL","Gadsden, AL",34.014264,-86.0066386,208,6980,6772,38942,53.41276771,1792.409224,"Gadsden, AL",32,7108,7076,38942,8.217348878,1825.278619,-45.19541883,32.86939551,1.030714708,1.004522329,-2.541186075
310M500US34380,"Mount Pleasant, MI","Mount Pleasant, MI",43.5978075,-84.7675139,-212,4514,4726,24739,-85.69465217,1824.649339,"Mount Pleasant, MI",-299,4055,4354,24739,-120.8617972,1639.112333,-35.16714499,-185.5370063,0.955141769,0.931327515,-2.49326904
310M500US33380,"Minden, LA","Minden, LA",32.6154278,-93.2868354,-55,2759,2814,16551,-33.23062051,1666.968763,"Minden, LA",-126,2744,2870,16551,-76.12833061,1657.905867,-42.89771011,-9.062896502,0.980454869,0.956097561,-2.484286459
310M500US18880,"Crestview-Fort Walton Beach-Destin, FL","Crestview-Fort Walton Beach-Destin, FL",30.4434488,-86.5992261,1117,26472,25355,105382,105.9953313,2512.003948,"Crestview-Fort Walton Beach-Destin, FL",492,27349,26857,105382,46.68729005,2595.224991,-59.30804122,83.22104344,1.044054427,1.018319246,-2.464927123
310M500US19700,"Deming, NM","Deming, NM",32.2686981,-107.7586404,-75,1318,1393,8904,-84.23180593,1480.233603,"Deming, NM",-110,1327,1437,8904,-123.539982,1490.34142,-39.3081761,10.10781671,0.946159368,0.923451635,-2.399990285
310M500US26020,"Hobbs, NM","Hobbs, NM",32.7026116,-103.1360403,-56,3277,3333,22523,-24.86347289,1454.957155,"Hobbs, NM",-155,3685,3840,22523,-68.81854105,1636.105315,-43.95506815,181.1481597,0.98319832,0.959635417,-2.396556492
310M500US20020,"Dothan, AL","Dothan, AL",31.2232313,-85.3904888,333,10931,10598,56324,59.12222143,1940.735743,"Dothan, AL",77,11438,11361,56324,13.67090406,2030.750657,-45.45131738,90.01491371,1.031421023,1.006777572,-2.389271684
310M500US36900,"Ottumwa, IA","Ottumwa, IA",41.0160293,-92.4083022,-122,2771,2893,14481,-84.24832539,1913.541882,"Ottumwa, IA",-189,2720,2909,14481,-130.5158484,1878.32332,-46.26752296,-35.21856225,0.957829243,0.93502922,-2.38038497
310M500US24460,"Great Bend, KS","Great Bend, KS",38.3644567,-98.7648073,-23,1747,1770,10624,-21.64909639,1644.39006,"Great Bend, KS",-65,1739,1804,10624,-61.18222892,1636.85994,-39.53313253,-7.530120482,0.98700565,0.963968958,-2.333997972
310M500US31580,"Madisonville, KY","Madisonville, KY",37.3281005,-87.4988882,113,3593,3480,18588,60.79190876,1932.967506,"Madisonville, KY",27,3206,3179,18588,14.52550032,1724.768668,-46.26640844,-208.198838,1.032471264,1.008493237,-2.322391753
310M500US31860,"Mankato, MN","Mankato, MN",44.1635775,-93.9993996,-663,8154,8817,38976,-170.1046798,2092.05665,"Mankato, MN",-867,8135,9002,38976,-222.4445813,2087.181856,-52.33990148,-4.874794745,0.924804355,0.903688069,-2.283324661
310M500US32020,"Marion, OH","Marion, OH",40.5886699,-83.1285242,204,5492,5288,24737,82.46755872,2220.156042,"Marion, OH",71,4840,4769,24737,28.70194446,1956.583256,-53.76561426,-263.5727857,1.038577912,1.014887817,-2.281012799
310M500US17380,"Cleveland, MS","Cleveland, MS",33.7440023,-90.7248187,-27,1228,1255,12111,-22.29378251,1013.954256,"Cleveland, MS",-62,1369,1431,12111,-51.19313021,1130.377343,-28.8993477,116.4230865,0.978486056,0.956673655,-2.229198961
310M500US15740,"Cambridge, OH","Cambridge, OH",40.031183,-81.5884561,54,2720,2666,16220,33.29223181,1676.942047,"Cambridge, OH",-5,2632,2637,16220,-3.082614057,1622.688039,-36.37484587,-54.2540074,1.020255064,0.998103906,-2.171139218
310M500US39500,"Quincy, IL-MO","Quincy, IL-MO",39.9356016,-91.4098726,-39,5325,5364,30864,-12.63608087,1725.311042,"Quincy, IL-MO",-140,4741,4881,30864,-45.36029031,1536.093831,-32.72420943,-189.217211,0.992729306,0.971317353,-2.156877343
310M500US10660,"Albert Lea, MN","Albert Lea, MN",43.6478006,-93.3686555,41,2022,1981,13009,31.51664232,1554.308556,"Albert Lea, MN",-2,1652,1654,13009,-1.537397187,1269.890076,-33.05403951,-284.4184795,1.020696618,0.99879081,-2.146162467
310M500US21140,"Elkhart-Goshen, IN","Elkhart-Goshen, IN",41.5456719,-85.8281458,-377,16082,16459,71718,-52.56699852,2242.39382,"Elkhart-Goshen, IN",-667,14583,15250,71718,-93.00315123,2033.380741,-40.43615271,-209.013079,0.977094599,0.956262295,-2.132066194
310M500US33580,"Mitchell, SD","Mitchell, SD",43.7094283,-98.0297992,-44,1448,1492,9705,-45.33745492,1492.014426,"Mitchell, SD",-68,1289,1357,9705,-70.06697579,1328.18135,-24.72952087,-163.8330757,0.970509383,0.949889462,-2.124649352
310M500US30300,"Lewiston, ID-WA","Lewiston, ID-WA",46.3113738,-117.0456123,28,4575,4547,25485,10.98685501,1795.173632,"Lewiston, ID-WA",-68,4412,4480,25485,-26.68236217,1731.21444,-37.66921719,-63.95919168,1.006157906,0.984821429,-2.120589383
310M500US26740,"Hutchinson, KS","Hutchinson, KS",38.0608445,-97.9297743,-36,5780,5816,25014,-14.39194051,2310.706005,"Hutchinson, KS",-157,5616,5773,25014,-62.76485168,2245.14272,-48.37291117,-65.56328456,0.993810179,0.972804434,-2.113657601
310M500US24140,"Goldsboro, NC","Goldsboro, NC",35.3848841,-77.9927651,307,7756,7449,48343,63.50454047,1604.368781,"Goldsboro, NC",137,7244,7107,48343,28.33915975,1498.458929,-35.16538072,-105.9098525,1.041213586,1.019276769,-2.106850759
310M500US32540,"McAlester, OK","McAlester, OK",34.9334298,-95.7697131,36,2483,2447,17816,20.2065559,1393.691064,"McAlester, OK",-16,2449,2465,17816,-8.980691513,1374.607095,-29.18724742,-19.08396947,1.014711892,0.993509128,-2.089535413
310M500US15620,"Cadillac, MI","Cadillac, MI",44.2519526,-85.4011619,93,3410,3317,19018,48.90104112,1793.038174,"Cadillac, MI",20,2935,2915,19018,10.51635293,1543.274792,-38.38468819,-249.7633821,1.028037383,1.006861063,-2.059878372
310M500US29020,"Kokomo, IN","Kokomo, IN",40.486427,-86.1336033,105,7587,7482,34701,30.25849399,2186.392323,"Kokomo, IN",-43,7215,7258,34701,-12.39157373,2079.190801,-42.65006772,-107.2015216,1.014033681,0.994075503,-1.968196749
310M500US33220,"Midland, MI","Midland, MI",43.6155825,-84.2472116,120,6036,5916,34199,35.08874528,1764.963888,"Midland, MI",2,5764,5762,34199,0.584812421,1685.429399,-34.50393286,-79.53448931,1.020283976,1.000347102,-1.954051464
310M500US15180,"Brownsville-Harlingen, TX","Brownsville-Harlingen, TX",26.1906306,-97.6961026,672,14995,14323,124605,53.93042013,1203.402753,"Brownsville-Harlingen, TX",433,16755,16322,124605,34.7498094,1344.649091,-19.18061073,141.2463384,1.046917545,1.026528612,-1.947520472
310M500US31620,"Magnolia, AR","Magnolia, AR",33.2670725,-93.239334,0,1132,1132,8562,0,1322.121,"Magnolia, AR",-23,1160,1183,8562,-26.8628825,1354.823639,-26.8628825,32.70263957,1,0.980557904,-1.944209637
310M500US40260,"Roanoke Rapids, NC","Roanoke Rapids, NC",36.4615395,-77.6541464,11,3110,3099,29564,3.720741442,1051.955081,"Roanoke Rapids, NC",-46,2879,2925,29564,-15.55946421,973.8195102,-19.28020566,-78.13557029,1.003549532,0.984273504,-1.920784896
310M500US16980,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI",42.2162567,-87.8549755,-25650,750459,776109,3514621,-72.98084203,2135.248722,"Chicago-Naperville-Elgin, IL-IN-WI",-41243,759694,800937,3514621,-117.3469344,2161.524671,-44.36609239,26.27594839,0.966950519,0.948506562,-1.907435438
310M500US27780,"Johnstown, PA","Johnstown, PA",40.3267407,-78.9219698,65,8479,8414,56674,11.469104,1496.100505,"Johnstown, PA",-86,7406,7492,56674,-15.17450683,1306.772065,-26.64361083,-189.3284398,1.00772522,0.988521089,-1.905691188
310M500US39660,"Rapid City, SD","Rapid City, SD",44.0805434,-103.2310149,353,11869,11516,55101,64.06417306,2154.044391,"Rapid City, SD",132,12086,11954,55101,23.95600806,2193.426617,-40.10816501,39.38222537,1.030653005,1.011042329,-1.902742776
310M500US43940,"Spearfish, SD","Spearfish, SD",44.4908172,-103.8593697,-175,1723,1898,11048,-158.3997104,1559.558291,"Spearfish, SD",-221,1798,2019,11048,-200.0362056,1627.443881,-41.63649529,67.88559015,0.907797682,0.890539871,-1.901063518
310M500US20100,"Dover, DE","Dover, DE",39.158168,-75.5243682,966,12696,11730,65796,146.8174357,1929.600584,"Dover, DE",693,11901,11208,65796,105.3255517,1808.77257,-41.49188401,-120.8280139,1.082352941,1.061830835,-1.896064147
310M500US36840,"Ottawa, KS","Ottawa, KS",38.615768,-95.2686366,83,1979,1896,10118,82.03202214,1955.920142,"Ottawa, KS",42,1780,1738,10118,41.51017988,1759.240957,-40.52184226,-196.6791856,1.043776371,1.024165708,-1.878818503
310M500US20500,"Durham-Chapel Hill, NC","Durham-Chapel Hill, NC",35.9131996,-79.0558445,-1030,44948,45978,245658,-41.92820914,1829.698198,"Durham-Chapel Hill, NC",-2020,47539,49559,245658,-82.22813831,1935.170033,-40.29992917,105.4718348,0.977597982,0.959240501,-1.877814886
310M500US27620,"Jefferson City, MO","Jefferson City, MO",38.5767017,-92.1735164,18,9999,9981,56683,3.175555281,1764.020959,"Jefferson City, MO",-155,9067,9222,56683,-27.34505937,1599.597763,-30.52061465,-164.4231957,1.001803427,0.983192366,-1.857755717
310M500US47020,"Victoria, TX","Victoria, TX",28.8052674,-97.0035982,-73,5631,5704,34982,-20.86787491,1609.684981,"Victoria, TX",-201,6277,6478,34982,-57.45812132,1794.351381,-36.59024641,184.6663999,0.987201964,0.968971905,-1.846639219
